1	0.000000 0.316766 -0.003077 0.316766 0.000000 -0.049128 -0.003077 -0.049128 0.000000 
2	0.000000 0.444766 0.000423 0.444766 0.000000 -0.055128 0.000423 -0.055128 0.000000 
3	0.000000 0.511433 -0.002910 0.511433 0.000000 -0.076461 -0.002910 -0.076461 0.000000 
4	0.000000 0.542433 -0.003410 0.542433 0.000000 -0.081711 -0.003410 -0.081711 0.000000 
5	0.000000 0.563433 -0.003210 0.563433 0.000000 -0.088911 -0.003210 -0.088911 0.000000 
6	0.000000 0.577100 -0.003544 0.577100 0.000000 -0.093244 -0.003544 -0.093244 0.000000 
7	0.000000 0.581528 -0.000972 0.581528 0.000000 -0.095816 -0.000972 -0.095816 0.000000 
8	0.000000 0.586903 0.000403 0.586903 0.000000 -0.097441 0.000403 -0.097441 0.000000 
9	0.000000 0.594126 0.003625 0.594126 0.000000 -0.098219 0.003625 -0.098219 0.000000 
10	0.000000 0.600026 0.005125 0.600026 0.000000 -0.099519 0.005125 -0.099519 0.000000 
11	0.000000 0.608116 0.005398 0.608116 0.000000 -0.100701 0.005398 -0.100701 0.000000 
12	0.000000 0.611366 0.007148 0.611366 0.000000 -0.099117 0.007148 -0.099117 0.000000 
13	0.000000 0.615597 0.007917 0.615597 0.000000 -0.097656 0.007917 -0.097656 0.000000 
14	0.000000 0.620883 0.008417 0.620883 0.000000 -0.097441 0.008417 -0.097441 0.000000 
15	0.000000 0.626750 0.010417 0.626750 0.000000 -0.095108 0.010417 -0.095108 0.000000 
16	0.000000 0.631500 0.011729 0.631500 0.000000 -0.093108 0.011729 -0.093108 0.000000 
17	0.000000 0.633323 0.012082 0.633323 0.000000 -0.091343 0.012082 -0.091343 0.000000 
18	0.000000 0.636323 0.014138 0.636323 0.000000 -0.088399 0.014138 -0.088399 0.000000 
19	0.000000 0.639376 0.013559 0.639376 0.000000 -0.087767 0.013559 -0.087767 0.000000 
20	0.000000 0.642226 0.014759 0.642226 0.000000 -0.085317 0.014759 -0.085317 0.000000 
21	0.000000 0.642797 0.015664 0.642797 0.000000 -0.083936 0.015664 -0.083936 0.000000 
22	0.000000 0.644661 0.017573 0.644661 0.000000 -0.081982 0.017573 -0.081982 0.000000 
23	0.000000 0.647748 0.017703 0.647748 0.000000 -0.080938 0.017703 -0.080938 0.000000 
24	0.000000 0.650623 0.017912 0.650623 0.000000 -0.080063 0.017912 -0.080063 0.000000 
25	0.000000 0.651703 0.017832 0.651703 0.000000 -0.078703 0.017832 -0.078703 0.000000 
26	0.000000 0.653703 0.017985 0.653703 0.000000 -0.076934 0.017985 -0.076934 0.000000 
27	0.000000 0.655221 0.018800 0.655221 0.000000 -0.075749 0.018800 -0.075749 0.000000 
28	0.000000 0.656686 0.018586 0.656686 0.000000 -0.074999 0.018586 -0.074999 0.000000 
29	0.000000 0.658410 0.018896 0.658410 0.000000 -0.074137 0.018896 -0.074137 0.000000 
30	0.000000 0.659576 0.019263 0.659576 0.000000 -0.072403 0.019263 -0.072403 0.000000 
31	0.000000 0.661705 0.018489 0.661705 0.000000 -0.072145 0.018489 -0.072145 0.000000 
32	0.000000 0.663549 0.017770 0.663549 0.000000 -0.070927 0.017770 -0.070927 0.000000 
33	0.000000 0.665064 0.017891 0.665064 0.000000 -0.070109 0.017891 -0.070109 0.000000 
34	0.000000 0.666506 0.018597 0.666506 0.000000 -0.068314 0.018597 -0.068314 0.000000 
35	0.000000 0.668677 0.018454 0.668677 0.000000 -0.066829 0.018454 -0.066829 0.000000 
36	0.000000 0.669982 0.017315 0.669982 0.000000 -0.066551 0.017315 -0.066551 0.000000 
37	0.000000 0.671037 0.017451 0.671037 0.000000 -0.065281 0.017451 -0.065281 0.000000 
38	0.000000 0.672589 0.017082 0.672589 0.000000 -0.064491 0.017082 -0.064491 0.000000 
39	0.000000 0.674333 0.016954 0.674333 0.000000 -0.063568 0.016954 -0.063568 0.000000 
40	0.000000 0.674183 0.016579 0.674183 0.000000 -0.062243 0.016579 -0.062243 0.000000 
41	0.000000 0.675500 0.016945 0.675500 0.000000 -0.061316 0.016945 -0.061316 0.000000 
42	0.000000 0.676928 0.016659 0.676928 0.000000 -0.061150 0.016659 -0.061150 0.000000 
43	0.000000 0.677649 0.017287 0.677649 0.000000 -0.060219 0.017287 -0.060219 0.000000 
44	0.000000 0.679422 0.017560 0.679422 0.000000 -0.059015 0.017560 -0.059015 0.000000 
45	0.000000 0.680000 0.017671 0.680000 0.000000 -0.058059 0.017671 -0.058059 0.000000 
46	0.000000 0.680826 0.017106 0.680826 0.000000 -0.057472 0.017106 -0.057472 0.000000 
47	0.000000 0.682081 0.016510 0.682081 0.000000 -0.056174 0.016510 -0.056174 0.000000 
48	0.000000 0.683769 0.016051 0.683769 0.000000 -0.055258 0.016051 -0.055258 0.000000 
49	0.000000 0.685054 0.015725 0.685054 0.000000 -0.054299 0.015725 -0.054299 0.000000 
50	0.000000 0.685734 0.015105 0.685734 0.000000 -0.054019 0.015105 -0.054019 0.000000 
51	0.000000 0.687009 0.015164 0.687009 0.000000 -0.053077 0.015164 -0.053077 0.000000 
52	0.000000 0.688701 0.015337 0.688701 0.000000 -0.052058 0.015337 -0.052058 0.000000 
53	0.000000 0.689569 0.015129 0.689569 0.000000 -0.051190 0.015129 -0.051190 0.000000 
54	0.000000 0.690958 0.014870 0.690958 0.000000 -0.050468 0.014870 -0.050468 0.000000 
55	0.000000 0.691594 0.015215 0.691594 0.000000 -0.049268 0.015215 -0.049268 0.000000 
56	0.000000 0.692666 0.015412 0.692666 0.000000 -0.048607 0.015412 -0.048607 0.000000 
57	0.000000 0.692876 0.014973 0.692876 0.000000 -0.047941 0.014973 -0.047941 0.000000 
58	0.000000 0.693342 0.014353 0.693342 0.000000 -0.047337 0.014353 -0.047337 0.000000 
59	0.000000 0.693867 0.013861 0.693867 0.000000 -0.046558 0.013861 -0.046558 0.000000 
60	0.000000 0.693817 0.013261 0.693817 0.000000 -0.046391 0.013261 -0.046391 0.000000 
61	0.000000 0.695227 0.013687 0.695227 0.000000 -0.045424 0.013687 -0.045424 0.000000 
62	0.000000 0.696711 0.014139 0.696711 0.000000 -0.044198 0.014139 -0.044198 0.000000 
63	0.000000 0.697330 0.014139 0.697330 0.000000 -0.043293 0.014139 -0.043293 0.000000 
64	0.000000 0.698736 0.013186 0.698736 0.000000 -0.042762 0.013186 -0.042762 0.000000 
65	0.000000 0.698783 0.013155 0.698783 0.000000 -0.042331 0.013155 -0.042331 0.000000 
